year,month,day,hour,minute,msl,t2m,tp,u10,v10,vis
2010,1,3,17,0,101280.10333,12.12398,0.00297,1.65441,2.66187,10000.0
2010,1,3,18,0,101302.22706,12.26807,0.01278,0.7752,2.93199,10000.0
2010,1,3,19,0,101290.40753,11.89498,0.01804,-0.51738,2.64118,10000.0
2010,1,3,20,0,101276.66859,11.17595,0.00046,-1.88585,1.8797,10000.0
2010,1,3,21,0,101209.79228,10.71167,0.0,-2.81935,1.15457,10000.0
2010,1,3,22,0,101116.14523,10.03301,0.0,-2.44484,0.11356,10000.0
2010,1,3,23,0,101088.06122,9.44624,0.0,-2.07835,0.18563,10000.0
2010,1,4,0,0,101097.15317,9.0105,0.0,-2.02221,0.17874,10000.0
2010,1,4,1,0,101030.4789,8.59774,0.0,-2.27517,-0.21799,10000.0
2010,1,4,2,0,100985.72632,8.09588,0.00091,-2.64783,-0.48686,10000.0
2010,1,4,3,0,100912.08156,8.15156,0.00228,-3.20188,-0.4317,10000.0
2010,1,4,4,0,100794.39137,7.90167,0.00342,-3.36785,-0.1948,10000.0
2010,1,4,5,0,100714.38224,7.77569,0.00342,-3.72755,-0.27377,5000.0
2010,1,4,6,0,100587.90317,7.97476,0.00137,-3.98422,-0.63477,10000.0
2010,1,4,7,0,100484.05294,7.86618,0.0,-4.21004,-1.13741,10000.0
2010,1,4,8,0,100423.64201,8.00956,0.0,-4.28593,-1.24395,10000.0
2010,1,4,9,0,100353.12892,8.52326,0.0,-4.35873,-1.38184,10000.0
2010,1,4,10,0,100335.04605,9.75877,0.0468,-4.49323,-1.67139,10000.0
2010,1,4,11,0,100313.22538,10.4604,0.11118,-4.19276,-1.77856,10000.0
2010,1,4,12,0,100263.52274,11.32212,0.46117,-3.92561,-1.28908,10000.0
2010,1,4,13,0,100178.56355,11.83094,0.66573,-3.44004,-1.18504,10000.0
2010,1,4,14,0,100138.25593,12.29869,0.53605,-3.0754,-1.41693,10000.0
2010,1,4,15,0,100109.66681,12.44278,0.60842,-2.83046,-1.5404,10000.0
2010,1,4,16,0,100097.0391,12.58547,0.65522,-2.54726,-1.37118,10000.0
2010,1,4,17,0,100107.54535,12.22491,0.85636,-2.33749,-1.756,10000.0
2010,1,4,18,0,100113.20256,11.98129,0.71709,-2.17769,-2.35578,10000.0
2010,1,4,19,0,100141.28658,11.85113,0.02534,-2.18632,-2.72744,10000.0
2010,1,4,20,0,100177.8564,11.5734,0.00183,-2.31959,-2.70989,10000.0
2010,1,4,21,0,100195.23212,11.2546,0.0,-2.29491,-3.01511,10000.0
2010,1,4,22,0,100216.64871,10.58708,0.0,-2.30972,-3.73899,10000.0
2010,1,4,23,0,100256.24918,9.9822,0.0,-2.73668,-3.77973,10000.0
2010,1,5,0,0,100266.35134,9.60703,0.0,-2.72865,-3.86747,10000.0
2010,1,5,1,0,100346.46149,9.41491,0.0,-2.63981,-4.283,10000.0
2010,1,5,2,0,100394.1437,9.01746,0.0,-3.29751,-4.45222,10000.0
2010,1,5,3,0,100409.0949,8.77941,0.0,-3.85342,-4.23035,10000.0
